CMDLINE python test_lib_memoryleak.py
MEM 0.273438 1611149417.7903
MEM 34.347656 1611149418.7959
MEM 35.003906 1611149419.8024
MEM 35.406250 1611149420.8118
MEM 35.792969 1611149421.8186
MEM 35.875000 1611149422.8287
MEM 36.042969 1611149423.8384
MEM 36.066406 1611149424.8443
MEM 36.476562 1611149425.8496
MEM 36.523438 1611149426.8578
MEM 36.589844 1611149427.8675
MEM 36.843750 1611149428.8752
MEM 36.863281 1611149429.8807
MEM 37.203125 1611149430.8884
MEM 37.214844 1611149431.8987
MEM 37.527344 1611149432.9085
MEM 37.566406 1611149433.9182
MEM 37.625000 1611149434.9266
MEM 37.636719 1611149435.9365
MEM 37.656250 1611149436.9458
MEM 37.746094 1611149437.9510
MEM 37.753906 1611149438.9601
MEM 37.820312 1611149439.9687
MEM 37.902344 1611149440.9779
MEM 37.910156 1611149441.9876
MEM 37.937500 1611149442.9944
MEM 37.945312 1611149444.0029
MEM 37.960938 1611149445.0109
MEM 37.968750 1611149446.0181
MEM 38.003906 1611149447.0270
MEM 38.367188 1611149448.0368
MEM 38.382812 1611149449.0437
MEM 38.390625 1611149450.0492
MEM 38.414062 1611149451.0590
MEM 38.414062 1611149452.0688
MEM 38.421875 1611149453.0792
MEM 38.433594 1611149454.0870
MEM 38.500000 1611149455.0951
MEM 38.523438 1611149456.1028
MEM 38.535156 1611149457.1124
MEM 38.847656 1611149458.1228
MEM 39.089844 1611149459.1332
MEM 39.179688 1611149460.1420
MEM 39.214844 1611149461.1530
MEM 39.250000 1611149462.1608
MEM 39.250000 1611149463.1696
MEM 39.277344 1611149464.1802
MEM 39.285156 1611149465.1852
MEM 39.296875 1611149466.1924
MEM 39.300781 1611149467.2022
MEM 39.316406 1611149468.2125
MEM 39.421875 1611149469.2194
MEM 39.429688 1611149470.2267
MEM 39.429688 1611149471.2319
MEM 39.433594 1611149472.2419
MEM 39.437500 1611149473.2489
MEM 39.625000 1611149474.2556
MEM 39.636719 1611149475.2625
MEM 39.636719 1611149476.2725
MEM 39.652344 1611149477.2804
MEM 39.652344 1611149478.2909
MEM 39.664062 1611149479.2997
MEM 39.683594 1611149480.3046
MEM 39.699219 1611149481.3093
MEM 39.699219 1611149482.3160
MEM 39.707031 1611149483.3258
MEM 39.710938 1611149484.3354
MEM 39.722656 1611149485.3416
